 1.0	-28.87348199
 1.011	-29.12058472
 1.022	-29.32723747
 1.033	-29.52927235
 1.044	-29.75929904
 1.056	-29.95171739
 1.067	-30.17080295
 1.079	-30.38420326
 1.091	-30.59204621
 1.102	-30.76586441
 1.114	-30.96369592
 1.127	-31.15629106
 1.139	-31.37012309
 1.151	-31.55187026
 1.164	-31.72881642
 1.176	-31.90132421
 1.202	-32.24985502
 1.215	-32.42927967
 1.229	-32.58149548
 1.242	-32.75011029
 1.256	-32.91314878
 1.269	-33.07074535
 1.283	-33.22303881
 1.297	-33.37017104
 1.311	-33.51228144
 1.325	-33.64950115
 1.34	-33.79817904
 1.354	-33.92540302
 1.369	-34.06312341
 1.384	-34.18085771
 1.399	-34.30818254
 1.414	-34.43023197
 1.43	-34.54716580
 1.445	-34.65914471
 1.461	-34.76632981
 1.477	-34.86888256
 1.493	-34.96696367
 1.509	-35.07089196
 1.526	-35.16005347
 1.543	-35.25445594
 1.559	-35.33538329
 1.576	-35.42100266
 1.594	-35.50228216
 1.611	-35.57940609
 1.628	-35.65255056
 1.646	-35.72188296
 1.664	-35.79393523
 1.682	-35.85577160
 1.701	-35.91993797
 1.719	-35.98024747
 1.738	-36.03187883
 1.757	-36.08531995
 1.776	-36.13541140
 1.795	-36.18231644
 1.815	-36.23003430
 1.835	-36.27074162
 1.855	-36.30888130
 1.875	-36.34232582
 1.895	-36.37680583
 1.916	-36.40931651
 1.937	-36.43995942
 1.958	-36.46880159
 1.979	-36.49793886
 2.001	-36.52134722
 2.023	-36.54415292
 2.045	-36.56318502
 2.067	-36.58177239
 2.089	-36.59839373
 2.112	-36.61320027
 2.135	-36.62728475
 2.158	-36.63877756
 2.182	-36.64958587
 2.206	-36.65827760
 2.23	-36.66630228
 2.254	-36.67305051
 2.279	-36.67898113
 2.303	-36.68340366
 2.328	-36.68683740
 2.354	-36.68950651
 2.379	-36.69121935
 2.405	-36.69205994
 2.432	-36.69210189
 2.458	-36.69141299
 2.485	-36.68994288
 2.512	-36.68793779
 2.539	-36.68519945
 2.567	-36.68190914
 2.595	-36.67812654
 2.623	-36.67362654
 2.652	-36.66899193
 2.681	-36.66369646
 2.71	-36.65806395
 2.739	-36.65213690
 2.769	-36.64595495
 2.799	-36.63955862
 2.83	-36.63259669
 2.861	-36.62547875
 2.892	-36.61823648
 2.923	-36.61090052
 2.955	-36.60349563
 2.987	-36.59562690
 3.02	-36.58772551
 3.053	-36.57981373
 3.086	-36.57191604
 3.12	-36.56404998
 3.154	-36.55581723
 3.188	-36.54764478
 3.223	-36.53954037
 3.258	-36.53150677
 3.294	-36.52315617
 3.329	-36.51529330
 3.366	-36.50713857
 3.402	-36.49908913
 3.439	-36.49076972
 3.477	-36.48293234
 3.515	-36.47482509
 3.553	-36.46682412
 3.592	-36.45857792
 3.631	-36.45080280
 3.67	-36.44278759
 3.71	-36.43488225
 3.751	-36.42674173
 3.792	-36.41904185
 3.833	-36.41111796
 3.875	-36.40330883
 3.917	-36.39561186
 3.96	-36.38771029
 4.003	-36.37991886
 4.046	-36.37224043
 4.091	-36.36438404
 4.135	-36.35695705
 4.18	-36.34936525
 4.226	-36.34161756
 4.272	-36.33428456
 4.318	-36.32681074
 4.365	-36.31948727
 4.413	-36.31205150
 4.461	-36.30476934
 4.51	-36.29763318
 4.559	-36.29065000
 4.608	-36.28358521
 4.659	-36.27668991
 4.709	-36.26995479
 4.761	-36.26314680
 4.812	-36.25672560
 4.865	-36.25004414
 4.918	-36.24375453
 4.972	-36.23742292
 5.026	-36.23105955
 5.08	-36.22507294
 5.136	-36.21908053
 5.192	-36.21326962
 5.248	-36.20745108
 5.305	-36.20181484
 5.363	-36.19637057
 5.422	-36.19095781
 5.481	-36.18572647
 5.54	-36.18052934
 5.601	-36.17553703
 5.662	-36.17074748
 5.724	-36.16601286
 5.786	-36.16146914
 5.849	-36.15712939
 5.913	-36.15287803
 5.977	-36.14881498
 6.042	-36.14493680
 6.108	-36.14116018
 6.175	-36.13748881
 6.242	-36.13399597
 6.31	-36.13068482
 6.379	-36.12748703
 6.448	-36.12446462
 6.518	-36.12159698
 6.589	-36.11883123
 6.661	-36.11617499
 6.734	-36.11366245
 6.807	-36.11129467
 6.881	-36.10903433
 6.956	-36.10690744
 7.032	-36.10485272
 7.109	-36.10294284
 7.186	-36.10112025
 7.264	-36.09940081
 7.344	-36.09777330
 7.424	-36.09626849
 7.504	-36.09482250
 7.586	-36.09349116
 7.669	-36.09224743
 7.752	-36.09108315
 7.837	-36.08999947
 7.922	-36.08901725
 8.009	-36.08808256
 8.096	-36.08724424
 8.184	-36.08647237
 8.273	-36.08574259
 8.363	-36.08510327
 8.454	-36.08452087
 8.547	-36.08397618
 8.64	-36.08350268
 8.734	-36.08306272
 8.829	-36.08266592
 8.925	-36.08232045
 9.022	-36.08199241
 9.121	-36.08172008
 9.22	-36.08146624
 9.32	-36.08123690
 9.422	-36.08104540
 9.525	-36.08085578
 9.628	-36.08071174
 9.733	-36.08056358
 9.839	-36.08044422
 9.947	-36.08033955
 10.055	-36.08023715
 10.164	-36.08016519
 10.275	-36.08007742
 10.387	-36.08002585
 10.5	-36.07995662
 10.615	-36.07991898
 10.73	-36.07986559
 10.847	-36.07983400
 10.965	-36.07979576
 11.085	-36.07977093
 11.206	-36.07974265
 11.328	-36.07972137
 11.451	-36.07970128
 11.576	-36.07968518
 11.702	-36.07966920
 11.83	-36.07965893
 11.958	-36.07964253
 12.089	-36.07963872
 12.22	-36.07962163
 12.354	-36.07962574
 12.488	-36.07960454
