ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        0.41780987099915806    0.29697054569134923    0.1208386974219931     6.278858154859416e-07  0.550372561600566      1.4332682479402408     0.5761690888393192     1.395861773824965      1.0048639459337778     0.9843310242945087     930    3765   0.0                    0.0                    0                      1.1311518717943892e-07 1.5923166419454455e-07 3.555389641119581e-07 
0           0          1        0.251392236889541      0.13055807658534793    0.12083353241253296    6.278916601585958e-07  0.3649236058388265     1.4332376165145309     0.3700943936019475     1.395670326813609      1.005211550741449      0.9845549277212158     930    3765   5.8445564406278185e-12 1.162244858967871e-16  0                      1.1311518717943818e-07 1.5923166419454394e-07 3.5553896411194855e-07
0           0          2        0.18288878124979235    0.06168301583459013    0.12120513737312696    6.280420752382424e-07  0.2508319679436287     1.4354397757365418     0.22874915565562984    1.3963424799560467     0.9998396526291133     0.978323486006937      930    3765   1.5624128142200612e-10 1.1716980774187399e-14 0                      1.1311518827239059e-07 1.5923166459515352e-07 3.5553896937229553e-07
0           0          3        0.1686799110902872     0.04692039938679305    0.12175888353318817    6.281703059244148e-07  0.21876655907114473    1.4387150637125856     0.19713370271103842    1.3994209382854041     0.9975135491038346     0.975747101724082      930    3765   2.8441035394659095e-10 2.836375343186092e-14  0                      1.1311517475124101e-07 1.592316477155224e-07  3.5553904473995135e-07
0           0          4        0.14570656959343062    0.03795769128487565    0.10774824985758087    6.284509741488648e-07  0.1967659653119736     1.353410603032545      0.17794591077730515    1.3143579743067686     0.941132729123671      0.9195179177892372     930    3765   5.647039236928e-10     1.0005506511532092e-13 0                      1.1311516601175312e-07 1.5923163084748324e-07 3.555393733108705e-07 
0           0          5        0.14054848703512843    0.037860326677971456   0.10268753174503811    6.286121188588515e-07  0.19651344281276137    1.3212448871747684     0.18263787421511457    1.281975312434889      0.9228136041584507     0.9007965003561881     930    3765   7.25057662334136e-10   1.59485802612189e-13   0                      1.1311567225213004e-07 1.5923194328057417e-07 3.555392861780105e-07 
0           0          6        0.13184539142573157    0.03432450129692667    0.09752026129487375    6.288339312349087e-07  0.1871122425656955     1.2875730867091637     0.17222382374214823    1.2478421812120968     0.8985058603979029     0.8762024014006278     930    3765   9.458281085000309e-10  2.639867082841768e-13  0                      1.1311645018942612e-07 1.5923239296273487e-07 3.5553899598753933e-07
0           0          7        0.11781638717905056    0.03089921483095529    0.0869165429159064     6.294321888629861e-07  0.17753083992129925    1.2155579952900135     0.16139964199703405    1.1746306827195854     0.8492147066673725     0.826610983130847      930    3765   1.5257764673289518e-09 6.715626206432276e-13  0                      1.1312271640759685e-07 1.5923648918268718e-07 3.5554653524275245e-07
0           0          8        0.09869119420236548    0.026451934510091663   0.07223862876739826    6.309248755743683e-07  0.16425886032879983    1.1081771959583753     0.15376514276038486    1.0646921770130695     0.7885382952332926     0.7650093166694941     930    3765   2.8048954590732013e-09 2.2418234299567427e-12 0                      1.1313913763488918e-07 1.5925026933582402e-07 3.5572833132115186e-07
0           0          9        0.09427833237311674    0.02604730308006469    0.06823039793082267    6.313622293882516e-07  0.16299769672589373    1.076994323542796      0.1479255261670477     1.0326687550322933     0.7676114621083844     0.743575962094202      930    3765   3.1516235384450183e-09 2.8028261870033474e-12 0                      1.1314230324248151e-07 1.5925309974998485e-07 3.5581240003115327e-07
0           0          10       0.0865778161454162     0.02365559651443524    0.06292158764249131    6.31988489569082e-07   0.15533418310644287    1.0342470678759605     0.14126874554136296    0.9889156523028165     0.7353955887382251     0.7105580704742046     930    3765   3.628126137148078e-09  3.688299663007158e-12  0                      1.1315300542840531e-07 1.592636349705154e-07  3.559400347333501e-07 
0           0          11       0.07503650563189487    0.020956541250797902   0.054079330790260144   6.335908368598902e-07  0.14620421359462       0.9588266943873966     0.1350650411182917     0.9124947047552411     0.6763828979884277     0.6505477823063294     930    3765   4.599414446342428e-09  5.770672263264204e-12  0                      1.1318414237064514e-07 1.5929441258580757e-07 3.565070967848319e-07 
0           0          12       0.07097741679873865    0.021675801882422435   0.04930098014156855    6.347747477143046e-07  0.14869202371672657    0.9154871207578408     0.1417723671914279     0.8692079384325382     0.6358526468345388     0.6102740156236383     930    3765   5.209337550675342e-09  7.2109661120601436e-12 0                      1.1320128684215776e-07 1.5931094814864942e-07 3.5704596420671e-07   
0           0          13       0.06548237722992759    0.01874520111677131    0.04673654030072265    6.358124336761271e-07  0.13827546831028967    0.8913591816287834     0.13057260762030495    0.8442323300424429     0.6198747700146958     0.5937047924297141     930    3765   5.886967521876488e-09  9.001776080276087e-12  0                      1.132211574496303e-07  1.5932985156369328e-07 3.573654553648468e-07 
0           0          14       0.05872355309164608    0.018013678030203043   0.04070923810649885    6.369549441827364e-07  0.13555054993704285    0.8318996650166897     0.12481486044126014    0.7818206741964736     0.5646075853027065     0.5367100750439839     930    3765   6.9519310264042035e-09 1.2176439167736508e-11 0                      1.1324669543076722e-07 1.5935479285081116e-07 3.5738934843558597e-07
0           0          15       0.056983462804256445   0.017822445981955856   0.03916037735890142    6.394633991163149e-07  0.13482913223428356    0.8159205964806927     0.12914170916428025    0.7651922186613699     0.5506632268365121     0.5215775908771079     930    3765   8.409397249516742e-09  1.7507364066684115e-11 0                      1.1330637544986741e-07 1.5940876077229648e-07 3.583213582805676e-07 
0           0          16       0.05428804656933338    0.016072663344151503   0.03821474297404177    6.402511401265324e-07  0.12803951190448734    0.8060090787989089     0.11892879594918113    0.7557205264271992     0.5444758314876238     0.515833146275017      930    3765   8.798046699933095e-09  1.9126107766023684e-11 0                      1.1331880554107527e-07 1.5942024445023106e-07 3.586949173275269e-07 
0           0          17       0.051994589702697      0.014755022662818128   0.03723892608926199    6.40950616860904e-07   0.1226789432378983     0.7956517755581818     0.11103619471619171    0.7452370260592563     0.5374328744200242     0.5090447621500199     930    3765   9.133134279795127e-09  2.0474205150062236e-11 0                      1.1332563501797715e-07 1.5942644363483069e-07 3.590449297231509e-07 
0           0          18       0.048284912796025814   0.01296158376233155    0.03532268667604812    6.423576461306925e-07  0.11498180480287856    0.7749101094296151     0.10326714218060208    0.7253126991003698     0.5237972334558126     0.49635686439780763    930    3765   9.725338026359142e-09  2.2909210767610478e-11 0                      1.1333110677109456e-07 1.5943169411068018e-07 3.59846598011791e-07  
0           0          19       0.046380999577961664   0.011909429553927877   0.0344709265920414     6.434319923717658e-07  0.11021623357430504    0.7655101280628129     0.09740244602189976    0.7154103769022863     0.5113115470146841     0.4829801375247894     930    3765   1.0164190267971302e-08 2.4777515052149447e-11 0                      1.1334166145043854e-07 1.5944036562465327e-07 3.604609975136506e-07 
0           0          20       0.04436524466725414    0.01031547152493338    0.03404912823771806    6.449046027280962e-07  0.1025757327732003     0.760812187134942      0.09334602953619432    0.7111680703554154     0.5113818845342628     0.4833953287809413     930    3765   1.0720694475454298e-08 2.7336953735910003e-11 0                      1.1336727262489291e-07 1.5946233941077174e-07 3.613269592632413e-07 
0           0          21       0.041853152868910455   0.009283299900021042   0.032569206633799946   6.463350894421317e-07  0.09730861162659658    0.7440944272404785     0.08882280156258304    0.6929846808772806     0.4956335936628788     0.46696535794566874    930    3765   1.138424082529072e-08  3.0584816177397685e-11 0                      1.1339770823138113e-07 1.594888579266415e-07  3.6203369764264097e-07
0           0          22       0.04027060344353248    0.008991300732593488   0.031278654556187134   6.48154751846871e-07   0.09576599994758787    0.7292030795171819     0.085157718221312      0.6782403536690003     0.486448674256841      0.45810747988787526    930    3765   1.2291933784366624e-08 3.5561625797757913e-11 0                      1.1342042847163742e-07 1.5950820817534886e-07 3.6289861978972034e-07
0           0          23       0.03962480782863031    0.009011999106766486   0.03061216003561683    6.48686247047439e-07   0.09587616537813191    0.7213922124949318     0.08639527256411517    0.669289979598689      0.47327033626330406    0.44389583492932155    930    3765   1.2539676210842142e-08 3.69912702940159e-11   0                      1.1342973004206967e-07 1.5951579831148498e-07 3.631640512127482e-07 
0           0          24       0.03855403645092266    0.008832657948406738   0.02972072918021321    6.493223027365906e-07  0.09491739095715583    0.7108110857326237     0.08425268611508127    0.6586538551099909     0.46652857538581       0.4373179490780068     930    3765   1.283931135522451e-08  3.8705858782700734e-11 0                      1.1343660230176857e-07 1.5951983161121737e-07 3.634878516095975e-07 
0           0          25       0.03718823345074332    0.008691021859077788   0.02849656098781381    6.506038517135972e-07  0.09415329147203655    0.6960183475914455     0.08651053405032974    0.6440783051366615     0.4595187375361676     0.4309423918829533     930    3765   1.3444532855844355e-08 4.2113012417639644e-11 0                      1.1344943572583446e-07 1.5953039859609347e-07 3.641373715234073e-07 
