ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        0.389019389654575      0.33353257122285923    0.055486729522404854   8.890931102727219e-08  0.5804032192376269     1.3667674439840998     0.5180615918655297     1.3211358668935422     0.9671821079328491     0.9417466038362141     250    925    0.0                    0.0                    0                      2.3864190781912653e-08 2.7716255742960385e-08 3.7328864502399156e-08
0           0          1        0.18392867328820067    0.1284509506012612     0.05547763377364584    8.891329369090629e-08  0.3601880898840219     1.3666554146492864     0.30563459353930844    1.3212450162151796     0.9674705950957905     0.9421658541310487     250    925    3.9824384958361005e-12 2.2514106614898695e-16 0                      2.386419078191235e-08  2.771625574296012e-08  3.732886450239692e-08 
0           0          2        0.14413526672377414    0.08830587558855674    0.05582930213093674    8.900428068646886e-08  0.2986451645942445     1.3709801325587234     0.2576834089901428     1.3263455664478907     0.9792079142288638     0.9538208973813975     250    925    9.497132875009895e-11  1.8016226340452484e-14 0                      2.38641870164054e-08   2.7716252231701766e-08 3.732885209338524e-08 
0           0          3        0.12494423890802814    0.07159605539849535    0.05334809424815904    8.926137373462304e-08  0.2689089361572967     1.340168841719286      0.23822457930210045    1.2934568310221377     0.9585827714240879     0.9320295152738576     250    925    3.5307711146181093e-10 1.7265023533829697e-13 0                      2.386400984361728e-08  2.7716091617466065e-08 3.732802251184255e-08 
0           0          4        0.1064557671961504     0.05082136775111145    0.05563430978141599    8.966362296540977e-08  0.2265603262345144     1.3685838598241697     0.20358011825053327    1.3148999219887605     0.9833322768702099     0.9500981868160377     250    925    7.563691879375674e-10  8.726084585894376e-13  0                      2.3864194646617127e-08 2.771627357928406e-08  3.732591294311242e-08 
0           0          5        0.09726362526406557    0.04514780940008382    0.052115725810631765   9.005334997190478e-08  0.21353989671610485    1.3245991040701952     0.19512503109243745    1.2713943852024223     0.9493724445924997     0.917543717581831      250    925    1.1534108753192943e-09 1.796681663054287e-12  0                      2.3861982764368226e-08 2.771441314527334e-08  3.732174650528086e-08 
0           0          6        0.09255780977440714    0.042012684736997985   0.05054503418460267    9.085280648390918e-08  0.20599226097143716    1.3044856590109062     0.18865563189721368    1.2415852844921773     0.9464719208326962     0.9081175102891849     250    925    1.909742973222449e-09  4.492797638018821e-12  0                      2.385319693259541e-08  2.7706897487843307e-08 3.737847629260999e-08 
0           0          7        0.08583244150044836    0.03712772883651247    0.048704620640558575   9.202337732871302e-08  0.19364660110915372    1.2805163976417329     0.1790603248878437     1.2215860914366914     0.9374992541966287     0.9017068435943685     250    925    2.7443302010893007e-09 7.54339196758661e-12   0                      2.3831019664566916e-08 2.7686560049586358e-08 3.775392402150286e-08 
0           0          8        0.08544117529051987    0.03742390898735332    0.04801717390430126    9.239886528424228e-08  0.1944174582527172     1.271447287258602      0.17536868693834104    1.2128372207946947     0.9299796651490664     0.8945792621189796     250    925    2.9770942671772345e-09 8.707103441760804e-12  0                      2.381639367676248e-08  2.7672919577468642e-08 3.7923750659392156e-08
0           0          9        0.08213689417892409    0.03554904561759734    0.046587755335953114   9.322537362075668e-08  0.1894849230682559     1.2523795132979059     0.173798947567751      1.1937951851742272     0.910337493586833      0.8755960662612275     250    925    3.3598143353939735e-09 1.1027259327584506e-11 0                      2.3803690190044835e-08 2.7660607945531496e-08 3.839023389045879e-08 
0           0          10       0.07998594098481321    0.03482252115361696    0.04516332449425053    9.533694570349369e-08  0.1875386529802218     1.2330849956557821     0.1785738807112754     1.1696414039442953     0.8996337503583896     0.861981153423801      250    925    4.146094995325775e-09  1.6747901748151212e-11 0                      2.379017452914879e-08  2.7647007027599022e-08 3.9736921249671946e-08
0           0          11       0.07717878129286387    0.031745157754679856   0.04543352629223688    9.724594715280836e-08  0.1790603510803561     1.2367681272040967     0.16464658700798462    1.170070568536706      0.9045766326688229     0.8649353923225263     250    925    4.681974219792387e-09  2.181293622259189e-11  0                      2.37859770293839e-08   2.7642185567473786e-08 4.1113997399935694e-08
0           0          12       0.07363977241116422    0.02932828147245509    0.04431139115652165    9.978218748442527e-08  0.17210916385892264    1.2213995458166274     0.15821738768117466    1.1571519561890287     0.8911467564019099     0.8531532942409809     250    925    5.4733057788336015e-09 3.0422883027955125e-11 0                      2.377524916165156e-08  2.7632070520619746e-08 4.2871139140292395e-08
0           0          13       0.0724241984257211     0.02874931994569679    0.04367477805280918    1.004272151261369e-07  0.1704019164864353     1.2125940001288222     0.1530881511793713     1.1491192257376914     0.8843927282264995     0.8469848592188061     250    925    5.7428712769412e-09    3.401512199505818e-11  0                      2.376768355701072e-08  2.762617115927623e-08  4.32564740109137e-08  
0           0          14       0.07021367506988169    0.027434122444990064   0.042779451470902355   1.0115398925899136e-07 0.16645859445120012    1.2001006404698433     0.15077226012754963    1.1376060716051384     0.8752702147807404     0.8386081249370936     250    925    6.088304664661915e-09  3.921886405345086e-11  0                      2.3758833767147276e-08 2.7619414004824525e-08 4.364821795830419e-08 
0           0          15       0.06867421560948607    0.02687621920563512    0.041797894442022136   1.0196182880402703e-07 0.1647573409441199     1.1862528371388776     0.15251014908799412    1.1244643225566808     0.8652250443625938     0.8288763779284604     250    925    6.42521354291337e-09   4.4182672777428905e-11 0                      2.375676753899888e-08  2.7618441014144383e-08 4.4117224035192964e-08
