ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        0.4557899248303367     0.30538222151000965    0.15040770332032696    1.0000000000000001e-40 0.5581127716659073     1.5990406418675156     0.5581127716659073     1.5990406418675156     1.2157456851429442     1.2157456851429442     10     10     1.0000000000000001e-40 1.0000000000000002e-72 0                      0.0                    0.0                    0.0                   
0           0          1        0.17840644530049643    0.02857312541104784    0.1498333193884709     5.009777098619325e-10  0.17071786056294327    1.595984475937711      0.17071786056294327    1.595984475937711      1.2135563547680113     1.2135563547680113     10     10     4.980377958982563e-10  2.939913963676174e-12  0                      0.0                    0.0                    0.0                   
0           0          2        0.1699702848425904     0.029146833174947453   0.1408234494033628     2.2642801550570026e-09 0.1724232288129538     1.5472552008686733     0.1724232288129538     1.5472552008686733     1.1800289887917133     1.1800289887917133     10     10     2.154957718704976e-09  1.0932243635202652e-10 0                      0.0                    0.0                    0.0                   
0           0          3        0.15643052405771057    0.031847279930809186   0.12458323553320831    8.593693058705353e-09  0.18023380794090096    1.4553058162770969     0.18023380794090096    1.4553058162770969     1.1151422753408533     1.1151422753408533     10     10     7.510437735731694e-09  1.0832553229736588e-09 0                      0.0                    0.0                    0.0                   
0           0          4        0.13783258870474935    0.036947817350036036   0.10088474454914302    2.680557027485643e-08  0.19413081592514003    1.3095956129052648     0.19413081592514003    1.3095956129052648     1.0028769210792987     1.0028769210792987     10     10     2.0260271435441554e-08 6.545298839414877e-09  0                      0.0                    0.0                    0.0                   
0           0          5        0.1279459954608359     0.03494254742228378    0.09300340387476294    4.416378916157135e-08  0.18878929621601867    1.2574012394372671     0.18878929621601867    1.2574012394372671     0.9522119268189453     0.9522119268189453     10     10     3.0643212758087017e-08 1.3520576403484333e-08 0                      0.0                    0.0                    0.0                   
0           0          6        0.12307324118096356    0.02879417380048432    0.0942790120592559     5.532122332475974e-08  0.17137694498497222    1.2659949511062643     0.17137694498497222    1.2659949511062643     0.9544697375827281     0.9544697375827281     10     10     3.68074666725901e-08   1.851375665216964e-08  0                      0.0                    0.0                    0.0                   
0           0          7        0.1214780818222447     0.025225742555275394   0.09625228156822319    5.7698746118521705e-08 0.1604065379053443     1.2791750459236673     0.1604065379053443     1.2791750459236673     0.9660264657441213     0.9660264657441213     10     10     3.8088545301831146e-08 1.9610200816690562e-08 0                      0.0                    0.0                    0.0                   
0           0          8        0.12053168965392455    0.023537621699953264   0.09699400998889808    5.79650731894567e-08   0.15494635888135982    1.2840943039175725     0.15494635888135982    1.2840943039175725     0.9703713933415131     0.9703713933415131     10     10     3.8119703483489465e-08 1.9845369705967238e-08 0                      0.0                    0.0                    0.0                   
0           0          9        0.1195449945596419     0.022736530481498957   0.09680840577049213    5.830765084769207e-08  0.15228677253091336    1.282865117468928      0.15228677253091336    1.282865117468928      0.9690303918802813     0.9690303918802813     10     10     3.796871553187109e-08  2.033893531582098e-08  0                      0.0                    0.0                    0.0                   
