1 0.183929 360.19 1366.66
2 0.144135 298.65 1370.98
3 0.124944 268.91 1340.17
4 0.106456 226.56 1368.58
5 0.097264 213.54 1324.60
6 0.092558 205.99 1304.49
7 0.085832 193.65 1280.52
8 0.085441 194.42 1271.45
9 0.082137 189.48 1252.38
10 0.079986 187.54 1233.08
11 0.077179 179.06 1236.77
12 0.073640 172.11 1221.40
13 0.072424 170.40 1212.59
14 0.070214 166.46 1200.10
15 0.068674 164.76 1186.25
16 0.065994 160.57 1167.22
17 0.061780 155.27 1129.73
18 0.060491 153.47 1118.67
19 0.058273 150.17 1100.05
20 0.055750 146.08 1079.61
21 0.052555 142.93 1043.24
22 0.050798 137.66 1038.50
23 0.047709 132.82 1009.03
24 0.045325 131.58 974.05
25 0.042091 125.05 946.46
26 0.040509 121.15 935.16
27 0.040112 120.26 931.86
28 0.039434 119.11 924.49
29 0.038310 116.03 917.07
30 0.036543 114.36 891.24
31 0.034233 113.73 849.33
32 0.032866 109.90 838.97
33 0.031766 108.54 822.64
34 0.030729 108.54 801.17
35 0.029610 107.50 782.08
36 0.028441 104.98 768.20
37 0.026955 100.01 757.67
38 0.026355 100.41 742.46
39 0.025460 98.79 729.28
40 0.024631 95.13 726.32
41 0.023870 92.17 721.42
42 0.023280 88.80 721.72
43 0.022852 89.58 708.44
44 0.022191 86.97 703.54
45 0.022033 86.39 702.14
46 0.021753 85.70 698.23
47 0.021255 84.36 691.62
48 0.020664 82.28 685.57
49 0.020052 80.12 679.05
51 0.019483 78.16 672.53
52 0.019304 78.51 666.66
53 0.018991 77.47 662.80
54 0.018558 76.78 654.44
55 0.018134 74.58 652.00
56 0.017721 72.08 650.70
57 0.017571 70.89 651.16
58 0.017344 70.58 646.40
59 0.017011 69.99 639.87
60 0.016708 68.85 636.00
61 0.016409 68.46 629.45
62 0.016321 67.95 628.93
63 0.016175 67.31 627.33
64 0.015976 66.61 624.46
65 0.015704 65.60 620.69
66 0.015399 64.70 615.54
67 0.015284 64.73 612.29
68 0.015118 64.21 609.51
69 0.014882 63.38 605.91
70 0.014606 61.74 603.88
71 0.014469 61.97 599.26
72 0.014329 60.83 599.20
73 0.014131 60.30 595.44
74 0.013882 59.19 592.10
75 0.013790 58.13 592.98
76 0.013657 57.88 590.01
77 0.013463 58.00 584.05
78 0.013351 58.25 579.96
79 0.013184 57.77 576.72
80 0.013005 57.20 573.40
81 0.012818 56.41 570.49
82 0.012629 55.84 566.76
83 0.012546 56.33 562.70
84 0.012432 55.59 561.73
85 0.012278 54.80 559.70
86 0.012150 53.23 560.88
87 0.012020 52.40 559.61
88 0.011924 52.50 556.38
89 0.011780 52.17 553.06
90 0.011610 51.53 549.86
91 0.011557 52.09 546.48
92 0.011467 51.61 545.21
93 0.011329 51.25 542.11
94 0.011186 50.82 539.00
95 0.011122 51.05 536.22
96 0.011025 50.67 534.40
97 0.010889 50.29 531.33
98 0.010792 50.23 528.40
99 0.010708 50.33 525.40
101 0.010535 49.61 522.11
102 0.010456 49.31 520.51
103 0.010369 49.26 517.89
104 0.010260 49.01 515.10
105 0.010166 48.90 512.37
106 0.010088 48.74 510.31
107 0.010022 48.34 509.42
108 0.009953 47.89 508.56
109 0.009873 47.59 506.83
110 0.009797 47.69 503.98
111 0.009712 47.65 501.27
112 0.009642 47.43 499.61
113 0.009573 47.03 498.54
114 0.009501 46.71 497.13
115 0.009429 46.72 494.67
116 0.009344 46.35 492.91
117 0.009266 45.78 492.02
118 0.009222 45.16 492.43
119 0.009168 44.96 491.19
120 0.009127 45.10 489.34
121 0.009074 45.00 487.84
122 0.009015 44.77 486.52
123 0.008944 44.65 484.41
124 0.008870 44.23 483.09
125 0.008814 43.80 482.48
126 0.008764 43.51 481.62
127 0.008717 43.51 479.95
128 0.008673 43.48 478.53
129 0.008625 43.50 476.76
130 0.008579 43.22 475.97
131 0.008530 42.91 475.17
132 0.008502 42.89 474.24
