ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        26.606403765327475     26.08029178193219      0.5261118944859746     8.890931102727219e-08  5.15770274578194       2.9906357633233913     11.731508710973264     0.7472060591505978     2.0678377570465507     0.5776789097210971     250    925    0.0                    0.0                    0                      2.3864190781912653e-08 2.7716255742960385e-08 3.7328864502399156e-08
0           0          1        1.7289844850765186     1.2614484713464544     0.46753592477958905    8.895047520170987e-08  1.1343180508980928     2.8192393968745875     0.683742260203528      0.6996656947534743     1.9539933288746087     0.5410063767263518     250    925    4.113661304895074e-11  2.7561391570272e-14    0                      2.386419078191235e-08  2.7716255742960113e-08 3.73288645023969e-08  
0           0          2        1.3964840828495952     0.8863688596547357     0.5101151339359425     8.925891688690224e-08  0.9508397534396933     2.9448187274626476     0.11284272798216906    0.6131765745145018     2.0275851271555454     0.4853160060230964     250    925    3.499990504940832e-10  2.2293419407501416e-13 0                      2.38641872239122e-08   2.7716265529070735e-08 3.732824214923114e-08 
0           0          3        0.9427436995442987     0.6482676777413767     0.29447593199811256    8.980480916474121e-08  0.8131623646010873     2.237429524925992      0.8729103028475755     0.3129317154360765     1.5395693135283657     0.24057250540266187    250    925    8.892051968711655e-10  1.4266031467381966e-12 0                      2.3862951124812126e-08 2.771524779721862e-08  3.733597844269257e-08 
0           0          4        0.7396410779847072     0.5623671062934822     0.17727388051906512    9.11721599157678e-08   0.7573733876622848     1.7359884763211126     0.9862954035317016     0.9901460138704206     1.1667678649917559     0.7806620247073942     250    925    1.5386265693110122e-09 3.582297302112021e-12  0                      2.387465799705624e-08  2.772646561354894e-08  3.802882743854949e-08 
0           0          5        0.7329716752104095     0.557778874802395      0.17519270914268503    9.126532949913515e-08  0.7542774371667178     1.7257682568275434     1.159008083942419      1.0219545841705084     1.1608608710539763     0.8039414417907247     250    925    1.5726613982951713e-09 3.72239864018259e-12   0                      2.388147881963364e-08  2.773249461099755e-08  3.807497227156861e-08 
0           0          6        0.6744879958296738     0.5231237890574864     0.1513641151332365     9.16389509005591e-08   0.7304698931262903     1.6041165715986323     1.3528273814489207     0.9428246248337827     1.0600140790312798     0.7495751752635373     250    925    1.9072118893315417e-09 4.7987487064096396e-12 0                      2.389619490328034e-08  2.7745637343191852e-08 3.8085108016048946e-08
0           0          7        0.6346980975065437     0.49493915278523337    0.1397588503646553     9.435665506745133e-08  0.7105194830335482     1.5413956250198855     0.9882472728361439     0.907380089554871      1.0470724210270836     0.6926572204254818     250    925    2.7771037290817684e-09 7.85362547779481e-12   0                      2.3960666096370278e-08 2.7801434456215504e-08 3.980959716030599e-08 
0           0          8        0.6114877130495028     0.4649075015481855     0.14658011560561776    9.589569967301598e-08  0.6886259155105624     1.578563265358261      1.214180251307537      1.0117513982863588     1.0875426841301143     0.7785744562173897     250    925    3.1494218728817607e-09 9.312962671439558e-12  0                      2.4005774282739953e-08 2.784678285875713e-08  4.088440769596569e-08 
0           0          9        0.5790156028565757     0.4352998444852326     0.14371566095621613    9.741512699716296e-08  0.6663376331206098     1.563063099608534      1.1668757332112563     1.0270531913671317     1.040840421023643      0.7938940082193428     250    925    3.5880623044814053e-09 1.152721698719098e-11  0                      2.4050410540300194e-08 2.789311058961597e-08  4.187201634577819e-08 
0           0          10       0.5639094408447001     0.42170584823920976    0.14220349438391916    9.822157115870991e-08  0.6558505661686771     1.5548181313095244     1.3601801960029027     1.0031792454758246     1.045176577858912      0.780556603873402      250    925    4.0380944956025125e-09 1.4508345328668761e-11 0                      2.4084009624198264e-08 2.7923917259251185e-08 4.216104143432927e-08 
0           0          11       0.5363848217068856     0.3984057941549503     0.13797892824207264    9.930986261460637e-08  0.6374746347747154     1.5315488227721397     1.286905851850222      0.9844567700635206     1.0343526566846457     0.774258483702737      250    925    4.579512186507116e-09  1.8735684779317908e-11 0                      2.4108354702923004e-08 2.7946984782254207e-08 4.2656275258142734e-08
0           0          12       0.48574251706157767    0.35856130630041894    0.12718110909719388    1.0166396497026063e-07 0.6047582429163115     1.4704009214451845     1.0931176055585272     0.9746287954214067     0.9913090526118231     0.7816985582157544     250    925    5.5920747280895915e-09 2.981024303957039e-11  0                      2.41329411926188e-08   2.7975697283910615e-08 4.393344152260206e-08 
