500 1.9905e-01	70.16 431.73
550 1.9903e-01	70.05 431.73
600 1.9857e-01	69.72 431.25
650 1.9880e-01	69.79 431.49
700 1.9917e-01	69.71 431.91
750 1.9948e-01	69.37 432.28
800 1.9989e-01	69.24 432.75
850 2.0023e-01	69.26 433.13
900 2.0005e-01	69.54 432.89
950 1.9979e-01	69.68 432.59
1000 1.9989e-01	70.02 432.67
0 1.9989e-01	70.02 432.67
50 1.9986e-01	69.62 432.69
100 2.0117e-01	69.93 434.09
150 2.0125e-01	70.28 434.14
200 1.9982e-01	70.72 432.53
250 1.9819e-01	70.63 430.73
300 1.9772e-01	70.64 430.21
350 1.9619e-01	69.85 428.60
400 1.9404e-01	68.50 426.34
450 1.9292e-01	67.66 425.17
500 1.9266e-01	67.23 424.92
550 1.9197e-01	65.72 424.30
600 1.9338e-01	65.60 425.89
650 1.9465e-01	64.46 427.41
700 1.9585e-01	64.79 428.71
750 1.9520e-01	65.48 427.93
800 1.9766e-01	66.43 430.57
850 1.9885e-01	67.00 431.82
900 1.9986e-01	67.29 432.91
950 1.9944e-01	67.25 432.45
1000 1.9832e-01	67.14 431.23
0 1.9832e-01	67.14 431.23
50 2.0080e-01	66.97 433.97
100 2.0132e-01	66.20 434.62
150 1.9898e-01	65.64 432.09
200 2.0072e-01	65.16 434.05
250 2.0130e-01	65.29 434.68
300 2.0088e-01	65.47 434.20
350 2.0099e-01	65.49 434.32
400 2.0219e-01	65.16 435.67
450 2.0320e-01	64.95 436.78
500 2.0348e-01	64.97 437.09
550 2.0238e-01	64.76 435.91
600 2.0192e-01	64.86 435.40
650 2.0270e-01	65.14 436.22
700 2.0359e-01	65.23 437.18
750 2.0432e-01	65.53 437.96
800 2.0453e-01	65.26 438.21
850 2.0493e-01	65.31 438.64
900 2.0492e-01	65.51 438.60
950 2.0591e-01	65.41 439.69
1000 2.0591e-01	65.58 439.67
0 2.0591e-01	65.58 439.67
50 2.0671e-01	65.70 440.53
100 2.0783e-01	65.96 441.72
150 2.0814e-01	65.56 442.08
200 2.0979e-01	65.69 443.85
250 2.1271e-01	64.96 447.04
300 2.1271e-01	64.86 447.04
350 2.1268e-01	64.87 447.01
400 2.1181e-01	64.58 446.11
450 2.1094e-01	64.76 445.16
500 2.1125e-01	64.55 445.51
550 2.0919e-01	64.54 443.30
600 2.0701e-01	64.16 440.99
650 2.0698e-01	63.95 440.99
700 2.0819e-01	63.79 442.30
750 2.1010e-01	63.75 444.35
800 2.1065e-01	63.66 444.95
850 2.1133e-01	63.68 445.67
900 2.1119e-01	63.54 445.54
950 2.1049e-01	63.51 444.79
1000 2.1095e-01	63.36 445.30
0 2.1095e-01	63.36 445.30
50 2.1194e-01	63.26 446.37
100 2.1095e-01	63.28 445.31
150 2.1094e-01	63.15 445.31
200 2.1061e-01	63.17 444.95
250 2.1083e-01	63.10 445.20
300 2.1082e-01	63.15 445.18
350 2.1168e-01	63.07 446.11
400 2.1226e-01	63.05 446.73
450 2.1280e-01	62.81 447.32
500 2.1361e-01	62.57 448.21
550 2.1316e-01	62.44 447.74
600 2.1380e-01	62.43 448.41
650 2.1406e-01	62.42 448.70
700 2.1333e-01	62.40 447.92
750 2.1254e-01	62.23 447.10
800 2.1273e-01	62.50 447.28
850 2.1176e-01	62.46 446.24
900 2.1121e-01	62.59 445.65
950 2.1016e-01	62.80 444.51
1000 2.0900e-01	62.96 443.24
0 2.0900e-01	62.96 443.24
50 2.0933e-01	63.02 443.60
100 2.0939e-01	62.94 443.67
150 2.1008e-01	62.67 444.43
200 2.1023e-01	62.56 444.60
250 2.1041e-01	62.13 444.83
300 2.1068e-01	62.07 445.12
350 2.1015e-01	61.92 444.57
400 2.0838e-01	62.04 442.66
450 2.0899e-01	61.94 443.33
500 2.0892e-01	61.74 443.27
550 2.0906e-01	61.55 443.43
600 2.0870e-01	61.44 443.05
650 2.0824e-01	61.47 442.56
700 2.0860e-01	61.37 442.95
750 2.0977e-01	61.29 444.22
800 2.0980e-01	61.31 444.24
850 2.0935e-01	61.27 443.77
900 2.0894e-01	61.21 443.33
950 2.0892e-01	61.05 443.32
1000 2.0819e-01	61.13 442.53
0 2.0819e-01	61.13 442.53
50 2.0859e-01	60.97 442.98
100 2.0865e-01	60.99 443.05
150 2.0876e-01	60.87 443.17
200 2.0880e-01	60.79 443.22
250 2.0852e-01	60.50 442.94
300 2.1023e-01	60.47 444.77
350 2.0970e-01	60.56 444.21
400 2.1008e-01	60.47 444.62
450 2.0927e-01	60.58 443.74
500 2.0934e-01	60.52 443.82
550 2.0867e-01	60.82 443.08
600 2.0826e-01	60.94 442.62
650 2.0825e-01	61.27 442.59
700 2.0851e-01	61.24 442.87
750 2.0824e-01	61.22 442.58
800 2.0880e-01	61.01 443.20
850 2.0940e-01	61.02 443.84
900 2.0866e-01	60.96 443.05
950 2.0900e-01	60.99 443.41
1000 2.0912e-01	60.79 443.56
0 2.0912e-01	60.79 443.56
50 2.0756e-01	60.88 441.88
100 2.0764e-01	60.76 441.97
150 2.0641e-01	60.77 440.65
200 2.0668e-01	60.70 440.95
250 2.0695e-01	60.74 441.23
300 2.0732e-01	60.57 441.64
350 2.0675e-01	60.40 441.05
400 2.0717e-01	60.60 441.48
450 2.0788e-01	60.63 442.24
500 2.0801e-01	61.18 442.34
550 2.0855e-01	61.17 442.91
600 2.0871e-01	61.13 443.10
650 2.0746e-01	61.40 441.72
700 2.0599e-01	61.40 440.13
750 2.0424e-01	61.51 438.23
800 2.0289e-01	61.66 436.75
850 2.0226e-01	62.10 436.02
900 2.0131e-01	62.05 434.99
950 2.0033e-01	62.28 433.90
1000 2.0107e-01	62.33 434.70
0 2.0107e-01	62.33 434.70
50 2.0065e-01	62.33 434.24
100 2.0038e-01	62.23 433.95
150 2.0044e-01	62.27 434.01
200 2.0101e-01	62.48 434.62
250 2.0264e-01	62.78 436.38
300 2.0322e-01	63.03 436.99
350 2.0350e-01	63.08 437.29
400 2.0376e-01	62.97 437.59
450 2.0488e-01	63.18 438.78
500 2.0653e-01	63.18 440.57
550 2.0682e-01	63.25 440.87
600 2.0827e-01	63.33 442.43
650 2.0859e-01	63.34 442.77
700 2.0896e-01	63.22 443.18
750 2.0875e-01	63.14 442.96
800 2.0965e-01	62.85 443.96
850 2.0976e-01	62.64 444.09
900 2.0905e-01	62.73 443.32
950 2.0888e-01	62.86 443.13
1000 2.0868e-01	62.92 442.90
0 2.0868e-01	62.92 442.90
50 2.0898e-01	62.85 443.24
100 2.0886e-01	62.93 443.10
150 2.0894e-01	62.82 443.19
200 2.0867e-01	62.77 442.91
250 2.0955e-01	62.54 443.88
300 2.0847e-01	62.54 442.72
350 2.0789e-01	62.78 442.07
400 2.0814e-01	62.94 442.32
450 2.0831e-01	62.80 442.52
500 2.0801e-01	62.97 442.19
550 2.0732e-01	62.94 441.45
600 2.0770e-01	63.09 441.84
650 2.0713e-01	63.01 441.23
700 2.0614e-01	63.22 440.14
750 2.0693e-01	63.65 440.95
800 2.0727e-01	63.51 441.34
850 2.0681e-01	63.50 440.84
900 2.0798e-01	63.73 442.08
950 2.0848e-01	64.15 442.58
1000 2.0849e-01	64.27 442.58
0 2.0849e-01	64.27 442.58
50 2.0829e-01	64.32 442.37
100 2.0814e-01	64.33 442.20
150 2.0801e-01	64.37 442.06
200 2.0761e-01	64.16 441.64
250 2.0838e-01	63.93 442.50
300 2.0895e-01	63.90 443.11
350 2.0797e-01	63.88 442.06
400 2.0820e-01	63.94 442.30
450 2.0805e-01	63.88 442.14
500 2.0842e-01	63.92 442.54
550 2.0807e-01	63.88 442.16
600 2.0720e-01	64.01 441.21
650 2.0653e-01	63.98 440.49
700 2.0740e-01	64.05 441.43
750 2.0790e-01	64.27 441.95
800 2.0861e-01	64.30 442.71
850 2.0886e-01	64.40 442.97
900 2.0927e-01	64.29 443.43
950 2.0960e-01	64.35 443.77
1000 2.0945e-01	64.47 443.60
0 2.0945e-01	64.47 443.60
50 2.0936e-01	64.51 443.50
100 2.0962e-01	64.47 443.78
150 2.0994e-01	64.46 444.12
200 2.0987e-01	64.50 444.05
250 2.0971e-01	64.33 443.89
300 2.0944e-01	64.32 443.60
350 2.0959e-01	64.37 443.76
400 2.0960e-01	64.51 443.76
450 2.0991e-01	64.45 444.09
500 2.0974e-01	64.74 443.89
550 2.0886e-01	64.67 442.95
600 2.0746e-01	64.75 441.43
650 2.0809e-01	65.04 442.08
700 2.0951e-01	64.95 443.62
750 2.1050e-01	64.85 444.69
800 2.0976e-01	64.82 443.90
850 2.0939e-01	64.69 443.51
900 2.0910e-01	64.81 443.19
950 2.0922e-01	64.76 443.32
1000 2.0946e-01	64.75 443.58
0 2.0946e-01	64.75 443.58
50 2.0937e-01	64.76 443.48
100 2.0916e-01	64.68 443.27
150 2.0893e-01	64.74 443.01
200 2.0857e-01	64.81 442.62
250 2.0902e-01	64.82 443.10
300 2.0961e-01	64.84 443.74
350 2.0902e-01	64.77 443.10
400 2.0938e-01	64.75 443.50
450 2.0923e-01	64.73 443.34
500 2.0920e-01	64.66 443.31
550 2.0856e-01	64.61 442.62
600 2.0876e-01	64.63 442.84
650 2.0821e-01	64.48 442.27
700 2.0903e-01	64.33 443.16
750 2.0860e-01	64.32 442.70
800 2.0861e-01	64.28 442.71
850 2.0861e-01	64.30 442.71
900 2.0822e-01	64.34 442.29
950 2.0847e-01	64.30 442.56
1000 2.0758e-01	64.22 441.61
0 2.0758e-01	64.22 441.61
50 2.0764e-01	64.21 441.67
100 2.0764e-01	64.18 441.68
150 2.0779e-01	64.26 441.83
200 2.0764e-01	64.31 441.67
250 2.0740e-01	64.25 441.41
300 2.0722e-01	64.14 441.23
350 2.0707e-01	64.14 441.06
400 2.0673e-01	64.12 440.70
