ladder_step cycle_step loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0.13858479303416746    0.05464353222064885    0.08327713803229406    0.0006641227812245165  0.23608558375567687    1.1898366931890185     0.19914143780284815    1.1452123254503435     0.8913814123340473     0.867676500989121      10     10     6.551269931551765e-06  0.0006575715112929647  0                      0.0                    0.0                    0.0                   
1           0          0.124511808996848      0.05062500856361572    0.07382526481723103    6.153561600125163e-05  0.2272388803168568     1.1202809963032194     0.19098579043318947    1.0807922491433688     0.8400145606842508     0.8165157193512677     20     20     2.7936544622790053e-06 5.874196153897263e-05  0                      0.0                    0.0                    0.0                   
2           0          0.12405356510040913    0.0505866634728623     0.07346101472873137    5.886898815429393e-06  0.22715280481450315    1.1175138742451005     0.1910341052396127     1.0781313229749645     0.8383436459285206     0.8148749460519823     30     30     9.807071996295517e-07  4.906191615799842e-06  0                      0.0                    0.0                    0.0                   
3           0          0.12288029934928311    0.04982534172364006    0.07302534077179304    2.961685385001071e-05  0.2254370168162225     1.1141951363250953     0.1889796932721086     1.0735168990031814     0.8330653633191581     0.8085801344943732     40     40     2.528056650340502e-06  2.708879719967021e-05  0                      0.0                    0.0                    0.0                   
4           0          0.12277711877969726    0.04977412581818694    0.07299642767882271    6.565282687608827e-06  0.22532112268369983    1.1139745415522568     0.1889306482634891     1.0729136176502618     0.8325251795282165     0.8078057680456372     50     50     1.3755449352678943e-06 5.189737752340933e-06  0                      0.0                    0.0                    0.0                   
5           0          0.1225907606181075     0.04977937922667391    0.07280931585751291    2.0655339206942864e-06 0.22533301312523846    1.1125458993866404     0.18903527539214815    1.0714264272341834     0.8313874486664687     0.8065126236608261     60     60     7.774675096044747e-07  1.2880664110898118e-06 0                      0.0                    0.0                    0.0                   
6           0          0.12249992465545756    0.049683834430263266   0.07281320752062583    2.882704568452069e-06  0.22511666111546177    1.112575631818085      0.18884539990060076    1.0715647226986156     0.8318050712231565     0.8069767771987494     70     70     9.729983999272193e-07  1.90970616852485e-06   0                      0.0                    0.0                    0.0                   
7           0          0.12241370266419713    0.049689988724843544   0.07271525204940611    8.4618899474704e-06    0.22513060318900377    1.1118270069992988     0.18885750847207528    1.0708224399757829     0.8309250121864361     0.8061219647512631     80     80     1.584069100305076e-06  6.877820847165324e-06  0                      0.0                    0.0                    0.0                   
8           0          0.12232677742213433    0.0496879923835915     0.07261325077756005    2.5534260982767684e-05 0.22512608072848395    1.1110469260384541     0.18886522764248648    1.0702107570171446     0.8306607925661057     0.8058464448697004     90     90     3.637417564516396e-06  2.1896843418251287e-05 0                      0.0                    0.0                    0.0                   
9           0          0.12226459012989711    0.0496896151158845     0.07253920791021565    3.57671037969517e-05   0.2251297568317136     1.1104803208998493     0.18887843638628599    1.0699431661370515     0.8305215819880156     0.8057111386928905     100    100    4.712696416468726e-06  3.105440738048297e-05  0                      0.0                    0.0                    0.0                   
